CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
30;321381;726639;19490;44;19.3;29;23;22.7;19.7;14.5;11.7;9.5;35.3;65.5;55.7;3.7;6.1;32.9;9.8;7.2;2.4;2.9;1.9;-15.4;10110;34450;3.4
31;578048;1294940;22510;55.6;12.9;23.8;13.6;13.8;11.9;8.6;9.4;5;24.9;79.6;70.9;3.2;5.5;23.6;9.4;5.4;1.9;2;1.5;-18;11640;40160;3.4
32;84688;183925;20130;44.4;14.8;23.4;15.9;16.2;15.6;10.7;14.8;9.7;27.7;63.3;53;2.8;7.5;35;11;5.2;1.8;2.2;1.2;-14.5;11210;34270;3.1
33;690533;1552449;21710;53.3;12.6;22.6;14;13.8;12.4;8.2;8.7;5.8;23.3;74.8;65.2;3.5;6.1;28;9.3;5.2;1.9;2;1.3;-17.3;11760;38190;3.2
34;500878;1100477;19850;46.3;19.1;30.3;21.9;22.2;19.7;13.3;11.6;9.2;32.8;67.8;56.9;3.9;7;31.7;10.3;6.9;2.2;2.8;1.9;-16.7;10110;36280;3.6
35;440840;1017988;21470;51.3;10.5;20.5;11.7;11.3;9.6;6.2;7.2;5;23.7;75.5;67.2;2.9;5.4;26.6;9;5.3;2.3;1.7;1.3;-16.4;12480;36170;2.9
36;101981;212114;19620;43.8;14.5;25.1;17.6;17.5;15.2;9.4;10.5;8.5;29.3;61.3;53.2;2.8;5.3;38.2;8.5;5.8;2;2.4;1.4;-13.8;11320;31800;2.8
37;267590;593243;21100;50.8;12.8;23.5;15.2;14.6;12.6;7.8;7.5;5.2;26.9;70.7;62.9;3;4.8;31.3;8.7;5.4;2.1;1.9;1.4;-16.1;11730;36150;3.1
38;518870;1229738;22260;55.2;11.2;19.4;13.2;12.7;10.6;7.1;7;5;24.3;75.1;67.7;3;4.4;26.8;9.6;4.9;2.2;1.5;1.2;-16.4;12230;38030;3.1
39;114959;254772;21050;50.3;11.9;17.8;14.5;13.5;11.8;8;8.7;6.4;24.9;70;62.3;2.9;4.8;32.3;8;4.8;2.1;1.6;1.1;-15.1;12080;35650;3
40;182543;405963;20800;48.8;11.7;18;13.5;14;12.2;7.6;9.1;6.6;23;64.6;55.2;3.4;6;36;9.8;4.7;1.9;1.7;1.1;-15.1;12120;34320;2.8
41;145952;326126;20720;50;12.7;20.2;16.6;15.9;12.8;7.6;6.9;6.2;28.5;66;58.1;3;4.9;34.9;8.8;5.3;2.2;1.9;1.2;-15;11740;34260;2.9
42;322928;733279;20220;45.6;14.7;24;17.6;17.9;14.7;8.8;8.4;6.4;30.2;67.6;59.8;3;4.8;31.6;9.5;6.3;2.6;2.1;1.6;-15;11270;33920;3
43;100187;223023;20140;43.4;12.1;18.4;12.6;14.1;12.2;8.5;11;7.9;24.8;65.6;56;2.8;6.8;32.9;9.9;5.5;2.3;2;1.2;-13.9;11980;32610;2.7
44;593840;1368330;21910;53.2;10.1;17.9;11.1;11.1;9.9;6.3;6.8;5;23.3;75.3;67.3;3.1;4.9;27.2;9;5.1;2.2;1.7;1.2;-16.6;12610;36960;2.9
45;286742;669050;21280;54.3;13.4;21.7;16.8;16;12.4;8.4;6.1;5.4;28.6;71.9;64.9;3;4;30.1;8.7;5.4;2.4;1.7;1.3;-16.1;11520;35980;3.1
46;79019;165189;20220;45.7;14.8;22.1;17.2;18;16;10.4;12.2;10.1;27.7;58.5;48.5;2.9;7.1;40.6;10.6;4.9;1.7;2;1.2;-14.6;11150;34370;3.1
47;147757;324508;19300;42.1;17;24.8;20;19.6;17.2;12.4;13.7;10.2;31.1;62.9;53;3.4;6.5;35.2;10;6.3;2.2;2.5;1.6;-14.4;10740;32830;3.1
48;33235;71112;19770;43.9;14.9;20.4;16.1;17.1;14.5;11;15.1;10.4;25.2;64.3;53.2;2.6;8.5;34;10.1;5.4;2.1;2.1;1.2;-13.8;11220;32370;2.9
49;335128;787208;20440;45.6;11.4;19.3;13;13;11.4;6.9;7;5.1;25.2;71.4;62.9;3.1;5.4;29;8.4;5.8;2.7;1.7;1.4;-14.6;12210;33590;2.8
50;221781;488099;20300;46.2;12.1;17.9;14;14.5;12.4;7.7;9.4;6.8;23.3;65.5;56.3;2.7;6.5;34.5;8.7;5.5;2.2;2;1.3;-14.2;12030;33390;2.8
51;241744;541794;21020;53.1;14.4;26.1;18.2;16.3;13.2;8.3;7;5;27;73;61.2;2.8;9;27.9;10.7;5.7;2.2;2;1.5;-17.3;11250;37740;3.4
52;78606;170060;19700;44.5;15.1;22.4;18.7;18.8;15;9.7;10.1;8.3;29.4;63.9;55.7;2.9;5.3;35.4;8.1;6.3;2.3;2.5;1.5;-13.7;11280;31790;2.8
53;128037;299851;20170;45;11.4;16.7;12.9;13;11.5;7.1;9;6.2;24.8;69.4;61.2;2.6;5.6;30.4;9;5.4;2.8;1.4;1.2;-14.2;12210;32020;2.6
54;305282;680771;20990;47.6;14.7;26.7;17.6;17.3;13.8;8.7;7.9;6.3;30.2;66.2;58.4;2.9;4.9;29.1;14.2;5.7;2;2.2;1.5;-15.2;11140;36360;3.3
55;79049;176917;19890;44.5;15.1;24.2;18.7;17.6;15;9.8;10.2;8.7;31;64.6;56.3;2.8;5.5;33.1;10.2;5.8;2.2;2.2;1.4;-13.7;11160;32420;2.9
56;338215;748122;20940;49.3;11.2;19.7;13.1;13;11.9;6.7;8.3;6.2;24.5;64.5;55.1;3.2;6.2;36.2;9.5;5;2.1;1.7;1.2;-15.2;12260;34900;2.8
57;432545;987351;21050;45.1;14.9;24.3;19.5;18.1;13.1;9.3;8.8;6.9;29.2;60.7;53.5;3.1;4.1;27.7;20.1;5.1;1.8;2;1.3;-13.6;11110;37970;3.4
58;96398;195926;19810;46.3;15.5;24.6;20.3;19.6;17.1;10.4;8.5;9.2;30.9;58.2;50.1;2.6;5.5;41.4;8.8;6.1;1.9;2.8;1.4;-14.5;11010;32400;2.9
59;1047368;2502009;19490;45.6;18.8;29.8;21.5;21.4;18.5;12;10.2;7.7;34.8;73.3;64.9;3.4;5;26.3;7.7;8.1;2.9;3.1;2.1;-15.4;10400;34890;3.4
60;323693;804022;21500;54.9;12.9;19.8;15.6;14.8;12.1;8.4;7;5.3;26.8;77;69.6;3.2;4.2;26.4;7.4;5.6;2.5;1.9;1.2;-16.4;11700;36370;3.1
61;123494;270095;19530;43.8;15.4;23.6;19.2;19.5;16.3;9.5;8.8;8.2;30.8;62.2;53.6;2.8;5.8;36.3;9.2;6;2.4;2.1;1.5;-13.7;11060;31680;2.9
62;603219;1450406;18610;41.2;19.3;31.4;23;21.9;18.7;11.5;11.5;8;35.8;69.5;61.2;3.4;4.9;29.2;7.1;8.5;3.1;3.2;2.2;-14.3;10510;31540;3
63;287860;622399;21330;51.2;12.7;22.7;14.5;14;12.4;8.6;9;6.3;26.4;70.2;62.3;2.8;5.1;31.1;9.8;5;1.9;1.8;1.3;-16.1;11750;36420;3.1
64;306240;662742;21250;50.8;12.2;21.2;13.7;14.3;12.8;8;9.2;6.5;23.3;66.9;57.8;3.1;6;33.5;11.2;5;1.7;2;1.3;-16.6;11920;37320;3.1
65;104455;220813;19910;44.9;15;27.5;19;17.2;14.9;9.9;11.9;8.3;29.9;62.8;53;3.4;6.4;37.3;8.4;5.9;1.9;2.5;1.5;-14.4;11150;32830;2.9
66;214889;457795;18880;42.4;20.5;33.3;25.3;24.9;22.2;13.5;12.9;10.8;36.2;59.3;48.5;3.8;7;37.9;10.5;7.7;2.2;3.4;2.1;-15.4;9990;33260;3.3
67;463346;1077358;22090;55.7;13;21.5;16.8;15.6;11.7;8.1;6.6;5;25.8;76.3;68.5;2.9;4.9;27;9.1;4.9;2;1.7;1.2;-17.3;11600;38560;3.3
68;319015;741918;22490;56.6;12.9;20.8;16.9;15.7;11.8;8;6.3;5;26.7;77.6;70.4;3.3;3.9;27.6;8;4.6;1.9;1.5;1.2;-17.8;11660;42330;3.6
69;760469;1756000;22410;57.5;13.8;21.1;15.2;16.3;13.6;8.7;7.1;5;25.1;78.1;70.1;3.2;4.8;24.6;10.6;5.3;2.2;1.7;1.4;-18.6;11400;41690;3.7
